Country.Name,Date,OCDE_member
Australia,7 June 1971,2
Austria,29 September 1961,2
Belgium,13 September 1961,2
Canada,10 April 1961,2
Chile,7 May 2010,2
Czech Republic,21 December 1995,2
Denmark,30 May 1961,2
Estonia,9 December 2010,2
Finland,28 January 1969,2
France,7 August 1961,2
Germany,27 September 1961,2
Greece,27 September 1961,2
Hungary,7 May 1996,2
Iceland,5 June 1961,2
Ireland,17 August 1961,2
Israel,7 September 2010,2
Italy,29 March 1962,2
Japan,28 April 1964,2
Korea,12 December 1996,2
Latvia,1 July 2016,2
Luxembourg,7 December 1961,2
Mexico,18 May 1994,2
Netherlands,13 November 1961,2
New zealand,29 May 1973,2
Norway,4 July 1961,2
Poland,22 November 1996,2
Portugal,4 August 1961,2
Slovak Republic,14 December 2000,2
Slovenia,21 July 2010,2
Spain,3 August 1961,2
Sweden,28 September 1961,2
Switzerland,28 September 1961,2
Turkey,2 August 1961,2
United Kingdom,2 May 1961,2
United States,12 April 1961,2
